id,rim_width_mm,rim_shoulder_mm,parting_line_mm,dome_mm,plate_thick_mm,nose_radius_mm,alpha_deg,Cl,Cd,Cm,n_iter
geom_025,17.28,18.42,12.46,5.99,3.22,1.97,5.0,0.30159,0.08252,0.00977,326
geom_025,17.28,18.42,12.46,5.99,3.22,1.97,8.0,0.45483,0.12535,0.02487,1000
geom_026,16.86,19.51,10.89,2.06,2.53,1.96,-1.0,-0.01897,0.05376,-0.00855,208
geom_026,16.86,19.51,10.89,2.06,2.53,1.96,-4.0,-0.11304,0.06559,-0.01991,248
geom_026,16.86,19.51,10.89,2.06,2.53,1.96,11.0,0.62542,0.18867,0.037,1000
geom_026,16.86,19.51,10.89,2.06,2.53,1.96,14.0,0.77405,0.26016,0.05364,1000
geom_026,16.86,19.51,10.89,2.06,2.53,1.96,2.0,0.11502,0.05963,0.00121,1000
geom_026,16.86,19.51,10.89,2.06,2.53,1.96,5.0,0.28918,0.08642,0.01243,1000
geom_026,16.86,19.51,10.89,2.06,2.53,1.96,8.0,0.46314,0.13191,0.02181,1000
geom_027,11.24,13.5,10.58,5.3,2.22,2.89,-1.0,0.05914,0.06318,-0.02786,1000
geom_027,11.24,13.5,10.58,5.3,2.22,2.89,-4.0,-0.07539,0.06227,-0.03273,1000
geom_027,11.24,13.5,10.58,5.3,2.22,2.89,11.0,0.6738,0.20701,0.03162,1000
geom_027,11.24,13.5,10.58,5.3,2.22,2.89,14.0,0.80675,0.26884,0.05105,1000
geom_027,11.24,13.5,10.58,5.3,2.22,2.89,2.0,0.20863,0.07726,-0.01706,1000
geom_027,11.24,13.5,10.58,5.3,2.22,2.89,5.0,0.37232,0.10892,-0.00519,1000
geom_027,11.24,13.5,10.58,5.3,2.22,2.89,8.0,0.53262,0.15584,0.01024,1000
geom_028,10.13,15.04,11.41,1.45,2.12,2.11,-1.0,0.03729,0.0607,-0.02076,1000
geom_028,10.13,15.04,11.41,1.45,2.12,2.11,-4.0,-0.08157,0.0618,-0.02561,189
geom_028,10.13,15.04,11.41,1.45,2.12,2.11,11.0,0.69396,0.22446,0.02768,1000
geom_028,10.13,15.04,11.41,1.45,2.12,2.11,14.0,0.82375,0.29022,0.04415,177
