id,rim_width_mm,rim_shoulder_mm,parting_line_mm,dome_mm,plate_thick_mm,nose_radius_mm,CL0,CLa,CD0,CDa,alpha0,CM0,CMa
geom_130,16.61,18.78,15.69,0.57,2.49,2.59,0.04815642857142859,2.771519631718177,0.058288110394242545,3.0689462802523746,-0.026474304887927475,0.0004419047619047693,0.2019539809313501
geom_131,21.94,18.21,13.24,0.53,2.81,3.59,0.057164761904761906,2.6189355141339328,0.053180520130374866,2.5232882829739713,-0.037992576091120674,-0.004672142857142847,0.2744058583108691
geom_132,21.74,16.66,11.15,2.22,2.0,3.0,0.08587904761904763,2.5565649655782625,0.04981985692329328,2.396796022423916,-0.0409476958738876,-0.010999404761904755,0.30145083042627047
geom_133,21.24,14.29,11.83,3.48,1.93,2.82,0.058503571428571426,2.5812157926211534,0.053060888137115,2.330618815050661,-0.03818769477170651,-0.0045796428571428455,0.3041382753224793
geom_134,17.94,16.44,12.2,3.66,3.23,3.33,0.08775952380952387,2.7063797871527076,0.052860665596612205,2.148110414401201,-0.061035013162462494,-0.011831785714285715,0.27528575778196296
geom_135,21.7,19.5,14.66,2.2,1.69,2.55,0.0535534523809524,2.393237889335315,0.05441693560229425,2.7824823451858753,-0.017726213009112615,-0.0003171428571428552,0.28353225747616734
geom_136,11.0,15.76,9.57,1.04,1.87,2.84,0.1000721428571429,3.0518596957643287,0.056652263429160986,2.1465905966465653,-0.07524997979605373,-0.019060119047619034,0.22004989796089855
geom_137,16.27,19.95,13.28,5.24,3.22,2.1,0.07147523809523812,2.739611339270296,0.053956876413561256,3.1505387819940704,-0.015919748679291797,-0.006256428571428563,0.2410106039661012
geom_138,17.24,16.54,13.87,2.15,2.61,2.17,0.04456035714285726,2.7912662128717916,0.0581251715995603,2.7427065433788567,-0.035239833999372645,0.00013535714285715223,0.21938144719991262
geom_139,22.58,19.46,13.2,5.07,2.32,2.86,0.06812321428571436,2.5065061886917728,0.0515177284660072,2.7053190266148346,-0.017671385138469154,-0.005751071428571427,0.30667565984377304
geom_140,21.64,14.29,8.41,5.76,2.64,2.47,0.10494738095238097,2.6288258570260714,0.04633533415014271,2.2024330432882984,-0.04207028069604168,-0.01743333333333333,0.32557644615695763
geom_141,21.96,18.87,9.75,3.55,3.01,3.0,0.06457369047619049,2.6942180758584424,0.04979441760151355,2.5561163464740884,-0.01934568425541502,-0.009864047619047607,0.2890299239389701
geom_142,18.81,19.34,9.67,1.56,2.11,1.74,0.060419642857142894,2.7760828313008257,0.05227363168436844,2.775447760150135,-0.016328533275158968,-0.008333095238095231,0.25184223466452677
geom_143,15.88,16.64,8.46,4.18,3.22,2.3,0.08687071428571433,2.9407877346225395,0.053213823632119434,2.2789884347574887,-0.04787924694101141,-0.01624880952380951,0.24062863210268057
geom_144,13.58,14.38,10.35,5.45,2.94,2.27,0.10373511904761909,2.8370482690731977,0.053415832152794024,2.4138614046402473,-0.04621124106584178,-0.016634166666666658,0.2654909078556788
geom_145,14.81,18.93,13.86,0.63,1.86,3.16,0.07647488095238102,2.8854904864662814,0.058973586944670836,2.5413958259363376,-0.060349636183250746,-0.006811666666666656,0.19012649501757806
geom_146,9.06,15.91,10.12,3.97,2.15,3.46,0.14812035714285712,3.005961683818671,0.0629341892216018,2.0464128949339044,-0.09218669341800996,-0.030429880952380937,0.24191778714172493
geom_147,22.81,15.89,8.45,2.54,2.72,2.57,0.1000279761904762,2.7358802926758123,0.0472839725762744,2.2696958347720058,-0.04377447644967822,-0.017245833333333318,0.30787614284309467
geom_148,9.79,13.73,8.39,0.74,2.68,3.15,0.16418547619047627,2.7462549213233602,0.06905202111367315,2.163004628396623,-0.05453155320101306,-0.03894523809523807,0.34944968762074174
geom_149,10.51,14.6,8.9,0.41,2.06,2.3,0.11675499999999996,2.932111516581988,0.06142584469327738,2.227401477828729,-0.057161361864249395,-0.0250315476190476,0.2781641886098819
geom_150,19.15,19.23,13.46,5.39,2.99,1.6,0.07442809523809531,2.641962960757285,0.05338061180084807,2.9365918655058727,-0.0213411646001286,-0.006273214285714276,0.26734619976372154
geom_151,10.45,17.43,8.89,4.48,2.73,2.43,0.0863929761904763,3.1315076502136456,0.060630764176159126,2.4593256671860395,-0.054794697536524814,-0.017689999999999987,0.1829372388739127
geom_152,11.36,13.11,10.03,2.01,1.99,3.27,0.11888321428571438,2.807472733362635,0.05686445926587584,2.1242275639712194,-0.06547027257166796,-0.022669523809523796,0.28757024574661294
geom_153,9.71,16.0,10.47,1.33,3.36,2.07,0.13103511904761908,2.951639828099362,0.06452501209421672,2.275644835697288,-0.06836844270215428,-0.02675547619047618,0.2505599005516148
geom_154,13.27,18.3,15.31,2.88,1.61,2.28,0.050450357142857186,2.903402238490253,0.05966182493153165,3.314505406036985,-0.026031312549888035,0.0015434523809523875,0.18931480480780943
geom_155,20.44,13.91,10.95,2.92,2.82,3.12,0.065477380952381,2.599850562815169,0.05164937896018339,2.1564477003694855,-0.04633235710387279,-0.007548928571428562,0.309499523262632
geom_156,20.34,19.31,15.77,2.95,1.67,3.05,0.0405147619047619,2.44287376880159,0.05430909067447942,2.853913779653726,-0.010773570148773481,0.0018165476190476278,0.2621759377552791
geom_157,10.58,13.31,6.47,2.39,2.31,2.26,0.12396200000000009,3.1091554752774124,0.05647317715029132,2.152843561122782,-0.05650807085281253,-0.027956666666666657,0.18124564919305036
geom_158,17.79,17.19,8.42,0.47,2.35,3.01,0.06084083333333345,2.90874984457814,0.05384045952946636,2.522202698863518,-0.028834110889767308,-0.011138809523809514,0.25822662152455594
geom_159,17.29,14.23,10.6,2.18,3.05,1.72,0.08425119047619051,2.657200909737312,0.05178338653340717,2.245378750697845,-0.04450405639223015,-0.012675595238095227,0.30019578001788866
geom_160,16.55,18.18,11.19,0.91,2.04,1.92,0.07709250000000002,2.8584250515724827,0.05351915866908853,2.8893038216545137,-0.029944811597534177,-0.009550952380952375,0.23002891289276042
geom_161,14.59,16.69,13.1,2.39,2.64,3.39,0.08652202380952387,2.8188636800039264,0.05625510156133791,2.113154606044591,-0.0773082158442355,-0.010830952380952373,0.22781893282582721
geom_162,17.99,15.35,12.87,5.56,2.81,2.16,0.07431440476190485,2.684109463330063,0.05331249463233863,2.5629772380521545,-0.0323429857734711,-0.008517380952380943,0.27737978210464337
geom_163,19.92,14.44,6.61,2.15,2.15,1.75,0.11507666666666666,2.8392159593981106,0.048589449996590504,2.1833267629443154,-0.0462524748169323,-0.023517333333333328,0.22223123013807522
geom_164,11.77,14.79,8.73,3.67,3.18,1.72,0.12269309523809523,2.987661139005147,0.05685290166160789,2.2440760497652996,-0.06071131129653978,-0.02502702380952379,0.2546047097481931
geom_165,10.51,17.36,8.06,3.51,3.29,1.89,0.08296595238095239,3.1240250942462833,0.06226194760069519,2.425238326117798,-0.051803475931716754,-0.016954999999999994,0.18838033792765557
geom_166,18.54,19.62,15.28,1.97,2.03,3.47,0.05256678571428577,2.53584981291383,0.055822472274538876,2.911623430965439,-0.01920715944411236,0.0009063095238095246,0.25422273788477273
geom_167,22.44,19.66,15.06,3.65,1.83,2.47,0.048557261904761964,2.484474597283766,0.052854413629396114,3.0891381447068142,-0.009496269237692642,0.0008648809523809526,0.2938386768623896
geom_168,10.73,18.07,10.47,5.0,2.83,3.44,0.08752630952380953,2.987067718431619,0.06145370979954967,2.938676186997941,-0.027886196383342415,-0.013963214285714282,0.20685822682062463
geom_169,22.47,18.92,13.17,5.09,3.25,3.58,0.06637333333333335,2.5608212234849494,0.05191646786885365,2.7103561368873392,-0.023697436721308262,-0.006269642857142847,0.2984905484847612
geom_170,13.26,18.01,13.8,4.04,3.08,2.02,0.08212571428571433,2.898839038907604,0.058814464771248375,2.7043202892332148,-0.04987491746518453,-0.008081309523809511,0.20614885050284357
geom_171,15.11,13.99,11.09,2.21,1.81,1.91,0.0755034523809524,2.7831765944786357,0.054472365854949925,2.39692629251717,-0.04642011729907534,-0.009353095238095228,0.2698494796543525
geom_172,21.34,14.86,11.84,2.58,1.99,2.8,0.061846666666666675,2.6347600627613548,0.05258401742019721,2.3188510832933438,-0.04364695835152109,-0.005371071428571429,0.2970172284401392
geom_173,11.73,14.12,8.37,3.75,1.78,1.92,0.14602380952380947,3.0133214631156484,0.054092194769449174,2.0062462828471186,-0.0888285024371691,-0.028909523809523795,0.24034215320511518
